typ;name;aadr;eadr;sadr;dir;file;md5;doublette
b;CRASH1;1000;1FFC;0000;z1013/Sammlung IGD/igd04a TINY 2;b.CRASH 1.z80;c9930f056d9604c0666575df940c6523;N
I;SCHLANGE;1800;1D52;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;I.SCHLANGE.z80;f2ff5f988f84d16f678b305173f4fdbf;N
I;CYRUS-CV.216K;0800;1D78;0000;z1013/Sammlung IGD/igd13b Text 2;I.CYRUS-C V.2 16K.z80;44578fdf61f9b7e667daadfbc8796f74;N
B;AUTO;2BC0;3AF9;2B50;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.AUTO.z80;8eb1dc474a9b8c3de573cac2e9eea47a;N
B;TENNIS;2BC0;37B4;0000;z1013/a_ziermann/games;B.TENNIS.z80;77f7b19849acda3876cf50fc5aa675c0;N
T;EDAS*8-Beschreib;1800;2C4E;00E0;z1013/m.duchrow;T.EDAS8-Beschreib.z80;19d9969c975d9e314027d18d10aa086b;N
B;99BOMBER;2BC0;45AE;00E0;z1013/Sammlung IGD/igd22b KC-BASIC+ 4;B.99BOMBER.z80;417afbd8623944ce6b9b6b1389390f65;N
B;SOFTCHEF0.9;2BC0;7CE9;0000;z1013/a_ziermann/lang/basic/dev;B.SOFTCHEF 0.9.z80;8dcd49dd14bfa15a4870203a35bcdf3f;N
B;HELEN.B;2BC0;42AD;0000;z1013/a_ziermann/unsorted2/unsorted/Reinsberger;B.HELEN.B.z80;7e5080a11a2279e2029bdd12b13dc702;N
C;RST20Wandlung;0100;01F0;0100;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;C.RST 20 Wandlung.z80;e44fd1c19238129c9e7f31f2f299a5b7;N
B;LABYRINT;2BC0;5040;0302;z1013/Sammlung IGD/igd08b KC-Basic+ 2;B.LABYRINT.z80;71906dc264121e97224a554ec324879d;N
b;WALL1;1000;2D03;0000;z1013/Sammlung IGD/igd04a TINY 2;b.WALL 1.z80;1d5e788165029a4ccaa3d5bd7be7f7f6;N
S;FREQUENZ.A;3000;3167;0000;z1013/a_ziermann/unsorted2/tools;S.FREQUENZ.A.z80;41d4f051db0d6033bcc0fa2e4e9b21f1;N
b;HINDERNIS**1L;1000;308F;0000;z1013/Sammlung IGD/igd03b TINY 1;b.HINDERNIS1 L.z80;dac4900bef6c891ffe10f3555dda5d0b;N
F;GET/PUTORIG/BR;6000;67FF;0320;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;F.GET_PUT ORIG_BR.z80;78fdd39bdea4366f316d487c64d0bbf5;N
